Human,Mouse
ACY3,Acy3
AICDA,Aicda
AQP3,Aqp3
AREG,Areg
AXL,Axl
B3GAT1,B3gat1
BATF3,Batf3
BIRC3,Birc3
C1QA,C1Qa
C1QC,C1Qc
CADM1,Cadm1
CCL19,Ccl19
CCL5,Ccl5
CCR6,Ccr6
CCR7,Ccr7
CCR8,Ccr8
CCR9,Ccr9
CD14,Cd14
CD160,Cd160
CD19,Cd19
CD1A,Cd1A
CD1C,Cd1C
CD2,Cd2
CD22,Cd22
CD24,Cd24
CD244,Cd244
CD27,Cd27
CD34,Cd34
CD3D,Cd3D
CD3E,Cd3E
CD3G,Cd3G
CD4,Cd4
CD40,Cd40
CD40LG,Cd40Lg
CD44,Cd44
CD5,Cd5
CD69,Cd69
CD7,Cd7
CD79A,Cd79A
CD8A,Cd8A
CD8B,Cd8B
CD99,Cd99
CLEC10A,Clec10A
CLEC9A,Clec9A
CR2,Cr2
CTLA4,Ctla4
CX3CR1,Cx3Cr1
CXCR3,Cxcr3
CXCR5,Cxcr5
CXCR6,Cxcr6
DNTT,Dntt
DPP4,Dpp4
EBI3,Ebi3
FCER1A,Fcer1A
FCGR3A,Fcgr3A
FCGR3B,Fcgr3B
FCN1,Fcn1
FCRL2,Fcrl2
FOXP3,Foxp3
FXYD2,Fxyd2
GATA3,Gata3
GLL1,Gll1
GNG4,Gng4
GNLY,
GZMB,Gzmb
GZMK,Gzmk
HES1,Hes1
HMOX1,Hmox1
HPGDS,Hpgds
ICAM1,Icam1
ICOS,Icos
IFNG,Ifng
IGHA1,Igha1
IGHA2,Igha2
IGHD,Ighd
IGHE,Ighe
IGHG1,Ighg1
IGHG2,Ighg2
IGHG3,Ighg3
IGHG4,Ighg4
IGHM,Ighm
IGLL5,Igll5
IKZF2,Ikzf2
IKZF3,Ikzf3
IL10,Il10
IL12A,Il12A
IL17A,Il17A
IL17F,Il17F
IL18,Il18
IL2,Il2
IL21,Il21
IL22,Il22
IL2RA,Il2Ra
IL4,Il4
IL4I1,Il4I1
IL6,Il6
IL7R,Il7R
IL9,Il9
IRF8,Irf8
ITGA1,Itga1
ITGAD,Itgad
ITGAE,Itgae
ITGAX,Itgax
ITGB1,Itgb1
JCHAIN,Jchain
KIT,Kit
KLF4,Klf4
KLRB1,Klrb1
KLRC1,Klrc1
KLRG1,Klrg1
LYZ,Lyz
MIR155HG,Mir155Hg
MKI67,Mki67
MME,Mme
MS4A1,Ms4A1
MYO1C,Myo1C
MZB1,Mzb1
NCAM1,Ncam1
NCR1,Ncr1
NCR2,Ncr2
NCR3,Ncr3
NKG7,Nkg7
PCLAF,Pclaf
PDCD1,Pdcd1
POU2AF1,Pou2Af1
PRF1,Prf1
PTPRC,Ptprc
RAG1,Rag1
RORC,Rorc
S100A12,S100a12
S100A13,S100a13
S100A9,S100a9
SATB1,Satb1
SELL,Sell
SLC4A10,Slc4a10
SMPD3,Smpd3
SMS,Sms
SPINK2,Spink2
SUGCT,Sugct
TBX21,Tbx21
TCL1A,Tcl1A
TGFB1,Tgfb1
TLE1,Tle1
TNF,Tnf
TNFRSF13B,Tnfrsf13B
TNFRSF4,Tnfrsf4
TNFRSF8,Tnfrsf8
TOP2A,Top2A
TOX2,Tox2
TRAC,Trac
TRAV1-2,Trav1-2
TRDC,Trdc
TRDV1,Trdv1
TRDV2,Trdv2
TRGC1,Trgc1
TRGC2,Trgc2
TRGV9,Trgv9
TYROBP,Tyrobp
VCAN,Vcan
XBP1,Xbp1
XCL2,Xcl2
ZBTB16,Zbtb16
ZCCHC7,Zcchc7
ZNF683,Znf683
KLRK1,Klrk1
KLRC2,Klrc2
CD226,Cd226
KIR2DS1,Kir2Ds1
KIR2DL1,Kir2Dl1
KIR3DL2,Kir3Dl2
KIR3DL3,Kir3Dl3
KIR2DL4,Kir2Dl4
KLRF1,Klrf1
KLRA1P,Klra1P
BTN3A1,Btn3a1
BTN3A2,Btn3a2
BTN3A3,Btn3a3
