Origin,Exact source,Cell_Type,Geneset_Enrichment,hs_protein,hs_gene,hs.total.genes,mm_protein,mm_gene,mm.total.genes,DOI
STEGO.R,,NK,NK receptors (common),NCR1;NCR3;NCR2;NKG2D;CD244;KLRC2;CD226;KIR2DS1;KIR2DL1;KIR3DL2;KIR3DL3;KIR2DL4;KLRF1;CD2;CD161;Ly49;CD16a;CD16b;CD56,NCR1;NCR3;NCR2;KLRK1;CD244;KLRC2;CD226;KIR2DS1;KIR2DL1;KIR3DL2;KIR3DL3;KIR2DL4;KLRF1;CD2;KLRB1;KLRA1P;FCGR3A;FCGR3B;NCAM1,19,,,,
STEGO.R,,NK,NK inhibtory receptors,KIR2DL1;KIR2DL3;KIR3DL1;KIR2DL4;NKG2A;CD94,KIR2DL1;KIR2DL3;KIR3DL1;KIR2DL4;KLRC1;KLRD1,6,,,,10.3389/fimmu.2019.01179
STEGO.R,,NK,NK activating receptors,KIR2DS4,KIR2DS4,1,,,,10.3389/fimmu.2019.01179
STEGO.R,,NK,KIR genes,KIR2DL1;KIR2DL2;KIR2DL3;KIR2DL4;KIR2DL5A;KIR2DL5B;KIR2DS1;KIR2DS2;KIR2DS3;KIR2DS4;KIR2DS5;KIR3DL1;KIR3DS1;KIR3DL2;KIR3DL3;KIR2DP1;KIR3DP1,KIR2DL1;KIR2DL2;KIR2DL3;KIR2DL4;KIR2DL5A;KIR2DL5B;KIR2DS1;KIR2DS2;KIR2DS3;KIR2DS4;KIR2DS5;KIR3DL1;KIR3DS1;KIR3DL2;KIR3DL3;KIR2DP1;KIR3DP1,17,,,,10.3389/fimmu.2019.01179
STEGO.R,,"NK, NKT, T cell",Granzyme,GZMA;GZMB;GZMH;GZMK;GZMM,GZMA;GZMB;GZMH;GZMK;GZMM,5,,,,
STEGO.R,,All,Cell cycling,,,,,,,
STEGO.R,,T cell,Cytotoxic ,GNLY;GZMB;PRF1;GZMA;GZMH;GZMM;GZMK;CD8;CD2;LFA-1,GNLY;GZMB;PRF1;GZMA;GZMH;GZMM;GZMK;CD8A;CD2;ITGAL,10,,,,
STEGO.R,,,Activation,,,,,,,
STEGO.R,,,Antigen presentation,,,,,,,
STEGO.R,,,Regulatory,,,,,,,
STEGO.R,,,Effector,,,,,,,
STEGO.R,,,Helper,,,,,,,
STEGO.R,,,Memory,,,,,,,
STEGO.R,,,innate-like,,,,,,,
STEGO.R,,,Exhausted,,,,,,,
STEGO.R,,,GTP/ATP energy,,,,,,,
STEGO.R,,,HLA,,,,,,,
STEGO.R,,,IL-10 pathway,,,,,,,
STEGO.R,,,Adaptive-like γδ T cell,,TRGV2;TRGV3;TRGV4;TRGV5;TRGV8;TRDC;TRGC1;TRGC2;CD8A;CD8B; TRDV1;TRDV3,10,,,,
STEGO.R,,,Innate-like γδ T cell,,TRGV9;TRDV2,2,,,,
KEGG,hsa04660,T cell,KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,AKT3;RASGRP1;CDK4;PAK4;VAV3;NFAT5;MALT1;CHP1;CHUK;MAP3K8;MAPK14;CSF2;CTLA4;DLG1;AKT1;AKT2;FOS;PIK3R5;CBLC;FYN;LAT;GRB2;GSK3B;ICOS;HRAS;IFNG;IKBKB;IL2;IL4;IL5;IL10;ITK;JUN;KRAS;RHOA;LCK;LCP2;NCK1;NFATC1;NFATC2;NFATC3;NFATC4;NFKB1;NFKBIA;NFKBIB;NFKBIE;NRAS;PAK1;PAK2;PAK3;PDCD1;PDPK1;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PIK3R1;PIK3R2;PLCG1;PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2;PRKCQ;MAPK1;MAPK3;MAPK11;MAPK9;MAPK13;MAP2K1;MAP2K2;MAP2K7;PAK6;PAK5;PTPN6;PTPRC;RAF1;RELA;MAPK12;CHP2;SOS1;SOS2;MAP3K7;TEC;TNF;VAV1;VAV2;ZAP70;NCK2;CARD11;PIK3R3;IKBKG;CBL;CBLB;BCL10;MAP3K14;CD3D;CD3E;CD3G;CD247;CD4;CD8A;CD8B;CD28;GRAP2;CD40LG;CDC42,AKT3;RASGRP1;CDK4;PAK4;VAV3;NFAT5;MALT1;CHP1;CHUK;MAP3K8;MAPK14;CSF2;CTLA4;DLG1;AKT1;AKT2;FOS;PIK3R5;CBLC;FYN;LAT;GRB2;GSK3B;ICOS;HRAS;IFNG;IKBKB;IL2;IL4;IL5;IL10;ITK;JUN;KRAS;RHOA;LCK;LCP2;NCK1;NFATC1;NFATC2;NFATC3;NFATC4;NFKB1;NFKBIA;NFKBIB;NFKBIE;NRAS;PAK1;PAK2;PAK3;PDCD1;PDPK1;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PIK3R1;PIK3R2;PLCG1;PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2;PRKCQ;MAPK1;MAPK3;MAPK11;MAPK9;MAPK13;MAP2K1;MAP2K2;MAP2K7;PAK6;PAK5;PTPN6;PTPRC;RAF1;RELA;MAPK12;CHP2;SOS1;SOS2;MAP3K7;TEC;TNF;VAV1;VAV2;ZAP70;NCK2;CARD11;PIK3R3;IKBKG;CBL;CBLB;BCL10;MAP3K14;CD3D;CD3E;CD3G;CD247;CD4;CD8A;CD8B;CD28;GRAP2;CD40LG;CDC42,108,,,,
GOBP,GO:0050798,T cell,GOBP_ACTIVATED_T_CELL_PROLIFERATION,,CD24;BTN2A2;LILRB4;RIPK3;BTN3A1;HHLA2;CLC;TMIGD2;RC3H1;IL23R;AGER;EPO;ICOSLG;SCRIB;CADM1;ABL1;FYN;LRRC32;PYCARD;CD274;HMGB1;IGF1;IGF2;IGFBP2;IL2;IL2RA;IL12B;IL12RB1;IL18;IDO1;JAK3;ARG1;LGALS9;MIR181C;MIR21;MIR30B;FOXP3;IL23A;PPP3CA;PRKAR1A;PRNP;CRTAM;GPAM;RPS3;SLAMF1;STAT5B;PDCD1LG2;CASP3;TNFSF9;FADD,50,,,,
GOBP,GO:0006924,T cell,GOBP_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS,,RIPK3;TSC22D3;AKT1;FAS;IL2RA;GPAM;RPS6;FADD;DNAJA3,9,,,,
GOBP,GO:0046631,T cell,GOBP_ALPHA_BETA_T_CELL_ACTIVATION,,ADA;EBI3;TCIRG1;BATF;HSPH1;LILRB1;MALT1;LILRB4;CD160;CD300A;NLRP3;SLAMF6;PSMB11;ADORA2A;ATF2;RC3H1;IL23R;CTSL;NKX2-3;CD55;ZFPM1;AGER;DOCK2;GPR183;ELF4;IL27;MTOR;ABL1;FUT7;ZNF683;TMEM98;PTPN22;GATA3;PLA2G2D;FOXP1;GLI3;GPR18;LGALS9B;TRBC2;TRBC1;TRAC;CD274;TBX21;ANXA1;NCKAP1L;HFE;STOML2;HLA-A;HLA-DRA;HLA-DRB1;HLA-DRB3;HLA-E;HLX;HMGB1;CLEC4G;IFNG;IHH;IL2;IL2RA;IL2RG;IL4;IL4R;IL6;IL6R;IL12A;IL12B;IL12RB1;IL15;IL18;INS;IRF1;IRF4;ITK;ITPKB;JAK2;JAK3;JUNB;ARG2;RHOA;LGALS9;LY9;MIR21;SMAD7;MEN1;KMT2A;TARM1;MYB;NKG7;PNP;CLEC4A;FOXP3;ZBTB7B;LEF1;IL23A;ATP7A;SASH3;RC3H2;PRKCQ;PRKCZ;CRTAM;TWSG1;ENTPD7;PTGER4;SH3RF1;WDFY4;PTPRC;IL21;RARA;BCL2;RELB;BCL3;BCL6;CDH26;RORA;RORC;RPL22;CCL19;XCL1;PRDM1;VSIR;SEMA4A;NFKBIZ;KLHL25;SHB;SHH;BCL11B;RASAL3;SLC4A2;LGALS9C;SPN;BRAF;STAT3;STAT6;SYK;TGFBR2;TNFSF4;CCR2;TYK2;ZAP70;ZBTB16;NKAP;ARMC5;ZC3H12A;PRR7;NDFIP1;EOMES;ITCH;CARD11;LOXL3;NFKBID;AP3B1;RUNX1;RUNX3;CBFB;SOCS1;CBLB;TNFRSF14;RIPK2;IL18R1;AP3D1;TNFSF18;CD3D;RSAD2;CD3E;CD3G;CD247;CD83;CD28;CD80;CD86;TNFSF8;MAPK8IP1;SOCS5;CD81;TOX,175,,,,
GOBP,GO:0046632,T cell,GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,,ADA;BATF;MALT1;LILRB4;NLRP3;SLAMF6;PSMB11;ATF2;RC3H1;IL23R;CTSL;NKX2-3;ZFPM1;GPR183;IL27;MTOR;ABL1;FUT7;ZNF683;TMEM98;GATA3;PLA2G2D;FOXP1;GLI3;GPR18;TBX21;ANXA1;NCKAP1L;HLA-DRA;HLA-DRB1;HLX;HMGB1;IFNG;IHH;IL2;IL2RG;IL4;IL4R;IL6;IL6R;IL12B;IL12RB1;IL18;IRF1;IRF4;ITK;ITPKB;JAK3;JUNB;RHOA;LGALS9;LY9;MIR21;SMAD7;MEN1;KMT2A;MYB;PNP;FOXP3;ZBTB7B;LEF1;IL23A;ATP7A;SASH3;RC3H2;PRKCZ;ENTPD7;PTGER4;SH3RF1;IL21;RARA;BCL2;RELB;BCL3;BCL6;RORA;RORC;RPL22;CCL19;PRDM1;SEMA4A;NFKBIZ;KLHL25;SHB;SHH;BCL11B;SLC4A2;SPN;BRAF;STAT3;STAT6;SYK;TGFBR2;TNFSF4;ZAP70;ZBTB16;NKAP;ARMC5;ZC3H12A;PRR7;EOMES;LOXL3;NFKBID;AP3B1;RUNX1;RUNX3;CBFB;SOCS1;RIPK2;IL18R1;AP3D1;TNFSF18;RSAD2;CD83;CD80;CD86;TNFSF8;SOCS5;TOX,119,,,,
GOBP,GO:0035710,T cell,GOBP_ALPHA_BETA_T_CELL_PROLIFERATION,,EBI3;CD55;DOCK2;ELF4;PTPN22;LGALS9B;CD274;HLA-A;HLA-E;CLEC4G;IL2;IL2RA;IL12B;IL15;IL18;IRF1;JAK2;ARG2;LGALS9;FOXP3;ZBTB7B;IL23A;PRKCQ;TWSG1;SH3RF1;PTPRC;XCL1;VSIR;RASAL3;SLC4A2;LGALS9C;SYK;TGFBR2;TNFSF4;CCR2;TYK2;ZAP70;NDFIP1;ITCH;CARD11;CBLB;TNFRSF14;RIPK2;CD3E;CD28;MAPK8IP1;CD81,47,,,,
GOBP,GO:0046633,T cell,GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,,TCIRG1;BATF;MALT1;CD160;NLRP3;SLAMF6;RC3H1;IL23R;CTSL;NKX2-3;CD55;ZFPM1;AGER;GPR183;IL27;MTOR;FUT7;TMEM98;GATA3;PLA2G2D;FOXP1;LGALS9B;CD274;TBX21;ANXA1;NCKAP1L;STOML2;HLA-DRA;HLA-DRB1;HLA-DRB3;HLX;HMGB1;IFNG;IL2;IL2RA;IL2RG;IL4;IL4R;IL6;IL6R;IL12B;IL12RB1;IL18;IRF4;JAK3;JUNB;ARG2;LGALS9;LY9;MIR21;SMAD7;MEN1;KMT2A;TARM1;MYB;NKG7;FOXP3;ZBTB7B;LEF1;IL23A;ATP7A;SASH3;RC3H2;PRKCQ;PRKCZ;TWSG1;ENTPD7;PTGER4;SH3RF1;IL21;RARA;RELB;BCL3;BCL6;CDH26;RORA;RORC;CCL19;XCL1;VSIR;SEMA4A;NFKBIZ;KLHL25;SHB;LGALS9C;SPN;BRAF;STAT3;STAT6;TGFBR2;TNFSF4;ARMC5;ZC3H12A;NDFIP1;ITCH;CARD11;LOXL3;NFKBID;RUNX1;RUNX3;CBFB;SOCS1;CBLB;RIPK2;IL18R1;TNFSF18;RSAD2;CD3E;CD83;CD28;CD80;CD86;SOCS5;CD81;TOX,115,,,,
