levels	use_as	name	signature
level1	positive	Immune	
level1	positive	Lymphoid	
level1	negative	Myeloid	
level1	negative	Neutrophils	
level2	negative	Tcell	
level2	negative	Age.associated_B_cells	
level2	negative	B_cell	
level2	negative	Follicular_B_cells	
level2	negative	Germinal_center_B_cells	
level2	negative	Memory_B_cells	
level2	positive	Naive_B_cells	
level2	negative	Proliferative_germinal_center_B_cells	
level2	negative	Transitional_B_cells	
level2	negative	Large_pre.B_cells	
level2	negative	Pre.pro.B_cells	
level2	negative	Pro.B_cells	
level2	negative	Small_pre.B_cells	
level2	negative	Plasma_cell	
