name	signature
Immune	PTPRC
Lymphoid	LCK
Myeloid	SPI1
Macrophage	CD40;CD68;CD14;FCGR1A
Neutrophils	CSF3R;FCGR3B;ANXA2-
APC	HLA-DRA;HLA-DMB;HLA-DMA;HLA-DQA1;HLA-DQB1;HLA-DRB1;HLA-DPA1;HLA-DPB1
Tcell	CD3D;CD3E;CD3G
CD4Tcells	CD4
CD8Tcells	CD8A
Age.associated_B_cells	FCRL2;ITGAX;TBX21
B_cell	CD79A;MS4A1;CD19
Follicular_B_cells	CXCR5;TNFRSF13B;CD22
Germinal_center_B_cells	POU2AF1;CD40;SUGCT
Memory_B_cells	CR2;CD27;MS4A1
Naive_B_cells	IGHM;IGHD;TCL1A
Proliferative_germinal_center_B_cells	MKI67;SUGCT;AICDA
Transitional_B_cells	CD24;MYO1C;MS4A1
Large_pre.B_cells	MME;CD24;MKI67
Pre.pro.B_cells	IL7R;ZCCHC7;RAG1
Pro.B_cells	MME;DNTT;IGLL1
Small_pre.B_cells	MME;CD24;IGLL5
Plasma_cell	JCHAIN;MZB1;XBP1
ETP	ACY3;CD34;SPINK2
DN_thymocytes	FXYD2;HES1;CD99
DP_thymocytes	CD1A;CD8A;SMPD3
CD8aa_T_cells	ZNF683;GNG4;PDCD1 
CD8a.bentry	TOX2;SATB1;CCR9 
"Follicular_helper_T_cells,"	PDCD1;ICOS;CXCR5
KLRB1_MAIT_cells_TRAV1.2	KLRB1;SLC4A10;TRAV1-2
Memory_CD4_cytotoxic_T_cells	GZMK;CD4;IL10
NK_CD8_T_cells	NKG7;GNLY;CD8A
Regulatory_T_cells	CTLA4;IL2RA;FOXP3
Tagonist	MIR155HG;BIRC3;SMS
Tcm.Naive_cytotoxic_T_cells	CD8A;CCR7;SELL
Tcm.Naive_helper_T_cells	CD4;CCR7;SELL
Tem.Effector_helper_T_cells	KLRB1;AQP3;ITGB1
Tem.Effector_helper_T_cells_PD1	PDCD1;CD4;CTLA4
Tem.Temra_cytotoxic_T_cells	CX3CR1;GZMB;GNLY
Tem.Trm_cytotoxic_CD8_T_cells	GZMK;CD8A;CCL5
Tregdiff	CD27;CCR7;IKZF2
Trm_cytotoxic_T_cells	ITGA1;ITGAE;CXCR6
Type_1_helper_T_cells	CCL5;CXCR3;TBX21
Type_17_helper_T_cells	IL7R;CCR6;ZBTB16
Gamma.delta_T_cells	TRDC;TRGC1;CCL5
DC	CD1C;FCER1A;CLEC10A
DC1	BATF3;CADM1;CLEC9A
DC2	CLEC10A;FCER1A;CD1C
DC3	CLEC10A;FCER1A;S100A9
Migratory_DC	EBI3;CCR7;CCL19
Transitional_DC	CLEC10A;KLF4;AXL
DC_precursor	IRF8;CLEC10A;PCLAF
CD16_NK_cells	GNLY;FCGR3A;NKG7
CD16neg_NK_cells	GNLY;CD160;NKG7
ILC	S100A13;TLE1;AREG
ILC1	CXCR3;CD3D;IKZF3
ILC2	GATA3;KLRG1;HPGDS
ILC3	IL4I1;RORC;KIT
NK_cells	GNLY;XCL2;NKG7
Traditional_NK_cells	CCL5;GZMK;FCGR3A
Mono.mac	TYROBP;C1QC;HMOX1
Monocyte_precursor	LYZ;VCAN;S100A9
Classical_monocytes	S100A9;CD14;S100A12
Monocytes	S100A9;LYZ;FCN1
Non.classical_monocytes	FCGR3A;C1QA;CX3CR1
