levels	use_as	name	signature
level1	positive	Immune	
level1	positive	Lymphoid	
level1	negative	Myeloid	
level1	negative	Neutrophils	
level2	positive	Tcell	
level2	positive	CD4Tcells	
level2	negative	CD8Tcells	
level3	negative	Regulatory_T_cells	
level3	negative	Tcm.Naive_helper_T_cells	
level3	negative	Tem.Effector_helper_T_cells	
level3	negative	Tem.Effector_helper_T_cells_PD1	
level3	negative	Tregdiff	
level3	negative	Type_1_helper_T_cells	
level3	positive	Type_17_helper_T_cells	
level3	negative	Follicular_helper_T_cells	
level3	negative	Memory_CD4_cytotoxic_T_cells	
