levels	use_as	name	signature
level1	positive	Immune	
level1	positive	Lymphoid	
level1	negative	Myeloid	
level1	negative	Neutrophils	
level2	positive	Tcell	
level3	positive	CD4Tcells	
level3	negative	CD8Tcells	
level4	negative	Regulatory_T_cells	
level4	negative	Tcm.Naive_helper_T_cells	
level4	negative	Tem.Effector_helper_T_cells	
level4	negative	Tem.Effector_helper_T_cells_PD1	
level4	negative	Tregdiff	
level4	negative	Type_1_helper_T_cells	
level4	negative	Type_17_helper_T_cells	
level4	negative	Follicular_helper_T_cells	
level4	negative	Memory_CD4_cytotoxic_T_cells	
