levels	use_as	name	signature
level1	positive	Immune	
level1	positive	Lymphoid	
level1	negative	Myeloid	
level1	negative	Neutrophils	
level2	positive	Tcell	
level2	negative	CD4Tcells	
level2	positive	CD8Tcells	
level3	negative	CD8aa_T_cells	
level3	negative	CD8a.bentry	
level3	negative	KLRB1_MAIT_cells_TRAV1.2	
level3	negative	NK_CD8_T_cells	
level3	positive	Tcm.Naive_cytotoxic_T_cells	
level3	negative	Tem.Temra_cytotoxic_T_cells	
level3	negative	Tem.Trm_cytotoxic_CD8_T_cells	
level3	negative	Trm_cytotoxic_T_cells	
level3	negative	Gamma.delta_T_cells	
level3	negative	CD8Tcells	
