name	signature
Tcell	CD3D;CD3E;CD2
Bcell	MS4A1;CD19
NK	KLRC1;KLRD1;KLRC2
Monocyte	MS4A7;CCL20;IL1B
CD4	CD4
CD8	CD8A
DN	CD4;CD8A
Macrophages	CXCL8;SOD2;S100A8
Plasma	LAMF7;IGKC
DC1_1	CLEC9A
DC1_2	XCR1
pDC	CLEC4C
classMono1	MS4A7
classMono2	SOD2
classMono3	CD14
DC2_1	CLEC10A
DC2_2	FCER1A
other	S100A8;FCER1G;S100A11;S100A10;C1orf162
DC	CLEC10A;FCER1A;CLEC9A;XCR1
Granulocytes	KIT;PTGS1;TPSB2;TPSAB1
Fibroblasts	PLPP3;CD34
Epithelial	EPCAM;PFN2;CSTA
mDC1	CD1C
mDC2	FCER1A 
NK1	KLRD1
NK2	KLRC1
mast1	TPSB2
mast2	CPA3
