name	signature
Bcell	MS4A1;CD19
NK	KLRC1;KLRD1
Monocyte	S100A9;CD14
Tcell	CD3D;CD3E;CD3G;CD2
CD4	CD4
CD8	CD8A
DN	CD4;CD8A
abTCR	TRDC-;TRAC
gdTCR	TRDC;TRAC-
TCRneg	TRDC;TRAC
APC	HLA-DRA;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;HLA-DQB2;HLA-DMB;HLA-DMA;HLA-DPA1;HLA-DPB1
Macrophages	CXCL8;SOD2;S100A8
Plasma	JCHAIN
DC1_1	CLEC9A
DC1_2	XCR1
pDC	SCT;CLEC4C
TCRab	TRAC
TCRgd	TRDC
classMono1	S100A9
classMono2	CD14
classMono3	S100A12
nonclassMono1	FCGR3A
nonclassMono2	C1QA
nonclassMono3	MS4A7
DC2_1	CLEC10A
DC2_2	FCER1A
other	S100A8;FCER1G;S100A11;S100A10;C1orf162
DC	CLEC10A;FCER1A;CLEC9A;XCR1
Granulocytes	KIT;PTGS1;TPSB2;TPSAB1
Fibroblasts	PLPP3;CD34
Endothelial	EPCAM;PFN2;CSTA
CD16.Mono	LILR1A;FCGR3A;CLEC7A;C5AR1
