name	signature
Bcell	Ms4a1;Cd19
NK	Klrc1;Klrd1;Klrc2
Monocyte	Ms4a7;Ccl20;Il1b
Tcell	Cd3d;Cd3e;Cd2
CD4	Cd4
CD8	Cd8a
DN	Cd4;Cd8a
abTCR	Trdc-;Trac
gdTCR	Trdc;Trac-
TCRneg	Trdc;Trac
APC	H2-Aa;H2-Ab1
Macrophages	Cxcl8;Sod2;S100a8
Plasma	Jchain
DC1_1	Clec9a
DC1_2	Xcr1
pDC	Sct;Clec4c
TCRab	Trac
TCRgd	Trdc
classMono1	Ms4a7
classMono2	Sod2
classMono3	Cd14
nonclassMono1	Fcgr3a
nonclassMono2	C1qa
nonclassMono3	Ms4a7
DC2_1	Clec10a
DC2_2	Fcer1a
other	S100a8;Fcer1g;S100a11;S100a10;C1orf162
DC	Clec10a;Fcer1a;Clec9a;Xcr1
Granulocytes	Kit;Ptgs1;Tpsb2;Tpsab1
Fibroblasts	Plpp3;Cd34
Epithelial	Epcam;Pfn2;Csta
CD16.Mono	Lilr1a;Fcgr3a;Clec7a;C5ar1
Mac1	C1qa;C1qb;C1qc
Mac2	Hla-dra
Mac3	Cd68
Endothelial1	Ldb2
Endothelial2	Cd34
NK1	Klrd1
NK2	Nkg7
