levels	use_as	name	signature
level1	positive	Immune	
level1	positive	Myeloid	
level1	positive	Macrophage	
level1	positive	MoMacDC	
level1	positive	pDC	
level1	positive	cDC1	
level1	positive	cDC2	
level1	positive	DC3	
level1	positive	MonoDC	
level1	negative	Epithelial	
level2	positive	Myeloid	
level2	positive	Macrophage	
level2	positive	MoMacDC	
level2	positive	pDC	
level2	positive	cDC1	
level2	positive	cDC2	
level2	positive	DC3	
level2	positive	MonoDC	
level2	negative	Lymphoid	
level2	negative	Tcell	
level2	negative	Bcell	
level2	negative	Plasma_cell	
level2	negative	PanBcell	
level3	positive	Macrophage	
level3	positive	MoMacDC	
level3	positive	pDC	
level3	positive	cDC1	
level3	positive	cDC2	
level3	positive	DC3	
level3	positive	MonoDC	
level3	negative	Neutrophils	
